competitor,competitor_product,vos_product,vos_url,score,confidence,competitor_url
ninja-vapes.co.uk,Hyola Pro Max 8000 Puffs Prefilled Refill Pods,Hyola Pro Max 8000 Puffs Prefilled Refill Pods,https://vapeonlinestore.co.uk/products/hyola-pro-max-8000-prefilled-replacement-pods,1.0,high,https://www.ninja-vapes.co.uk/product/hyola-pro-max-8000-puffs-prefilled-pods
ninja-vapes.co.uk,crystal pro cp 10k prefilled refill pods,Crystal Pro Cp 10000 Prefilled Pod,https://vapeonlinestore.co.uk/products/box-of-5-crystal-pro-cp-10k-pod,1.0,high,https://www.ninja-vapes.co.uk/product/crystal-pro-cp-10k-prefilled-refill-pods
ninja-vapes.co.uk,Lost Mary Nera 15000 Refill Pods,box of 10 lost mary nera 15k puffs prefilled replacement pods,https://vapeonlinestore.co.uk/products/box-of-10-lost-mary-nera-pods,1.0,high,https://www.ninja-vapes.co.uk/product/lost-mary-nera-15k-pods
ninja-vapes.co.uk,Lost Mary Bm6000 Prefilled Refill Pods,Lost Mary Bm6000 Refill Pods,https://vapeonlinestore.co.uk/products/lost-mary-bm6000-prefilled-replacement-pods,1.0,high,https://www.ninja-vapes.co.uk/product/lost-mary-bm6000-prefilled-refill-pods
ninja-vapes.co.uk,bloody bar 60k prefilled refill pods,bloody bar 60k replacement pods pack of 1,https://vapeonlinestore.co.uk/products/bloody-bar-60k-pods,1.0,high,https://www.ninja-vapes.co.uk/product/prefilled-refill-pod-bloody-bar-60k
ninja-vapes.co.uk,Pixl 8000 Puffs Prefilled Pods Kit,pixl 8000 prefilled pod vape kit,https://vapeonlinestore.co.uk/products/pixl-8000,1.0,high,https://www.ninja-vapes.co.uk/product/pixl-8000-puffs-prefilled-pod-kit
ninja-vapes.co.uk,Hqd Glow Air 70000 Puffs Prefilled Pods Kit,hqd glow air 70k 70k puff vape,https://vapeonlinestore.co.uk/products/hqd-glow-air-70k,1.0,high,https://www.ninja-vapes.co.uk/product/hqd-glow-air-70k-prefilled-pod-kit
ninja-vapes.co.uk,Crystal Pro Cp 10000 Puffs Prefilled Pods Kit,Crystal Pro Cp 10000 Prefilled Pods Kit,https://vapeonlinestore.co.uk/products/crystal-pro-cp-10k,1.0,high,https://www.ninja-vapes.co.uk/product/suonon-crystal-pro-cp-10k-puffs-prefilled-pod-kit
ninja-vapes.co.uk,Hyola Ultra 30000 Puffs Prefilled Pods Kit,Hyola Ultra 30000 Puffs Prefilled Pods Vape Kit,https://vapeonlinestore.co.uk/products/hyola-ultra-30k,1.0,high,https://www.ninja-vapes.co.uk/product/hyola-ultra-30k-puffs-prefilled-pod-kit
ninja-vapes.co.uk,Lost Mary Nera 30000 Puffs Fullview Pod Kit,Lost Mary Nera 30000 Fullview Pod Kit,https://vapeonlinestore.co.uk/products/lost-mary-nera-30k,1.0,high,https://www.ninja-vapes.co.uk/product/lost-mary-nera-30k
ninja-vapes.co.uk,Ivg Pro 12 10000 Puffs Starter Kit 20Mg,Ivg Pro 12 10000 Prefilled Pods Kit,https://vapeonlinestore.co.uk/products/ivg-pro-10000,1.0,high,https://www.ninja-vapes.co.uk/product/ivg-pro-12-starter-kit
ninja-vapes.co.uk,vaporesso dojo blast 2000 go refill pods,vaporesso dojo blast 2000 go prefilled replacement pods,https://vapeonlinestore.co.uk/products/vaporesso-dojo-blast-2000-go-prefilled-replacement-pods,1.0,high,https://www.ninja-vapes.co.uk/product/vaporesso-dojo-blast-2k-refills
ninja-vapes.co.uk,vaporesso dojo blast 2000 go pod kit,vaporesso dojo blast 2000 go puffs pod kit,https://vapeonlinestore.co.uk/products/vaporesso-dojo-blast-2000-go-pod-kit,1.0,high,https://www.ninja-vapes.co.uk/product/vaporesso-dojo-blast-2000-go-pod-kit
ninja-vapes.co.uk,Ivg Savr 3000 Puffs Vape Kit,ivg savr 3000 puffs disposable pod kit,https://vapeonlinestore.co.uk/products/ivg-savr-3000,1.0,high,https://www.ninja-vapes.co.uk/product/ivg-savr-3000
