competitor,product,brand,type,status,vos_product_url,review_note,in_stock_flavours,flavours_in_stock,other_variants_in_stock,price_from,listings,example_listing,competitor_url,more_urls,closest_vos_product,closest_vos_score
ninja-vapes.co.uk,snowwolf wf mini ohm coils,snowwolf,coil,listed on VOS but out of stock,https://vapeonlinestore.co.uk/products/snowwolf-mini-coils,"Exact match: Snowwolf WF Mini replacement coils, currently out of stock on VOS.",0,,resistance: 0.28ohm,11.99,1,Snowwolf WF Mini 0.28 Ohm Coils,https://www.ninja-vapes.co.uk/product/snowwolf-wf-mini-028-ohm-coils,,,
ninja-vapes.co.uk,uwell aeglos pod replacement coil,uwell,coil,listed on VOS but out of stock,https://vapeonlinestore.co.uk/products/aeglos-p1-replacement-coils-by-uwell,"Uwell Aeglos only has one pod system (P1), so this matches VOS's Aeglos P1 replacement coils, currently out of stock.",0,,"resistance: 0.23ohm dtl un2 meshed h, 0.8ohm mtl",9.99,1,Uwell Aeglos Pod Replacement Coil,https://www.ninja-vapes.co.uk/product/uwell-aeglos-pod-replacement-coil,,,
ninja-vapes.co.uk,ijoy 4in1 mars cabin 2800 puffs pod kit,ijoy,kit,listed on VOS but out of stock,https://vapeonlinestore.co.uk/products/ijoy-2800-puff-vape,"Exact match, IJOY 4in1 Mars Cabin 2800 puffs kit, but currently out of stock on VOS.",4,black; blue; red; white,,8.99,1,IJOY 4in1 Mars Cabin 2800 Puffs Pod Kit,https://www.ninja-vapes.co.uk/product/ijoy-mars-cabin-2800,,,
ninja-vapes.co.uk,freemax 904l x mesh replacement coils,freemax,other,listed on VOS but out of stock,https://vapeonlinestore.co.uk/products/freemax-maxluke-904l-x-replacement-coils,"Same 904L X coil model (used in the Maxluke tank), just named with the tank prefix on VOS.",0,,"resistance: 0.15ohm x1, 0.2ohm x2",10.99,1,Freemax 904L X Mesh Replacement Coils,https://www.ninja-vapes.co.uk/product/freemax-fireluke-replacement-coils,,freemax 904l m mesh coils pack of 3,0.45
ninja-vapes.co.uk,momo 50ml e-liquid juice shortfills,?,shortfill,listed on VOS but out of stock,https://vapeonlinestore.co.uk/products/momo-50ml-e-liquid-shortfill,Exact match: MoMo 50ml e-liquid shortfill is on VOS but currently out of stock.,9,double lemon ice range; mandarin ice range; mango aloe range; original aloe range; pomegranate aloe range; red apple ice range; slam berry ice range; soda lish; tropical cool ice range,,7.99,1,MoMo 50ml E-Liquid Juice Shortfills,https://www.ninja-vapes.co.uk/product/momo-e-liquid-50ml,,,
ninja-vapes.co.uk,Obs Cube Mini 3Ml Replacement Bulb,?,accessory,not on VOS (reviewed),,VOS has no OBS Cube Mini replacement glass; only unrelated OBS Cube Mini coils (out of stock) and other brands' glass.,0,,colour: glass,2.49,1,OBS Cube Mini 3ml Replacement Bulb Glass,https://www.ninja-vapes.co.uk/product/obs-cube-mini-3ml-replacement-bulb-glass-24567,,Smok Tfv Mini V2,0.1
ninja-vapes.co.uk,Wismec Gnome King 2Ml Replacement Bulb,?,accessory,not on VOS (reviewed),,No Wismec Gnome King product of any kind found on VOS.,0,,colour: glass,2.99,1,Wismec Gnome King 2ml Replacement Bulb Glass,https://www.ninja-vapes.co.uk/product/wismec-gnome-king-2ml-replacement-bulb-glass,,Aspire Nautilus 3 Replacement Bulb Bubble,0.09
ninja-vapes.co.uk,Aspire Cleito 120 5Ml Replacement Bulb,aspire,accessory,not on VOS (reviewed),,VOS sells Aspire Cleito 120 coils but no separate Cleito 120 replacement glass/bulb.,0,,colour: glass,2.49,1,Aspire Cleito 120 5ml Replacement Bulb Glass,https://www.ninja-vapes.co.uk/product/aspire-cleito-120-5ml-replacement-bulb-glass,,Aspire Nautilus 3 Replacement Bulb Bubble,0.1
ninja-vapes.co.uk,Aspire Cleito 5Ml Replacement Bulb,aspire,accessory,not on VOS (reviewed),,VOS sells Aspire Cleito coils/tank but no separate Cleito replacement glass/bulb.,0,,colour: glass,2.49,1,Aspire Cleito 5ml Replacement Bulb Glass,https://www.ninja-vapes.co.uk/product/aspire-cleito-5ml-replacement-bulb-glass,,Aspire Nautilus 3 Replacement Bulb Bubble,0.12
ninja-vapes.co.uk,Freemax Fireluke Mesh Pro 6Ml Replacement Bulb,freemax,accessory,not on VOS (reviewed),,VOS sells Freemax Mesh Pro coils and tank but no Mesh Pro replacement glass.,0,,colour: glass,5.99,1,Freemax Fireluke Mesh Pro 6ml Replacement Bulb Glass (2PACK),https://www.ninja-vapes.co.uk/product/freemax-fireluke-mesh-pro-6ml-replacement-bulb-glass,,Freemax M Pro 3 Replacement,0.15
