competitor,competitor_product,vos_product,vos_url,variant_type,missing_variant,vos_status,vos_closest_variant,competitor_price,competitor_url,match_confidence
ninja-vapes.co.uk,al fakher hypermax 30k puffs prefilled vape kit,Al Fakher Crown Bar 30000 Puffs Hypermax Vape Kit,https://vapeonlinestore.co.uk/products/box-of-5-al-fakher-crown-bar-30k,flavour,gum mint,listed on VOS but out of stock,gum mint,9.99,https://www.ninja-vapes.co.uk/product/al-fakher-30k-puffs-hypermax-prefilled-pod-kit,medium
ninja-vapes.co.uk,al fakher hypermax 30k puffs prefilled vape kit,Al Fakher Crown Bar 30000 Puffs Hypermax Vape Kit,https://vapeonlinestore.co.uk/products/box-of-5-al-fakher-crown-bar-30k,flavour,mint,listed on VOS but out of stock,mint,9.99,https://www.ninja-vapes.co.uk/product/al-fakher-30k-puffs-hypermax-prefilled-pod-kit,medium
ninja-vapes.co.uk,al fakher hypermax 30k puffs prefilled vape kit,Al Fakher Crown Bar 30000 Puffs Hypermax Vape Kit,https://vapeonlinestore.co.uk/products/box-of-5-al-fakher-crown-bar-30k,flavour,orange mint,listed on VOS but out of stock,orange mint,9.99,https://www.ninja-vapes.co.uk/product/al-fakher-30k-puffs-hypermax-prefilled-pod-kit,medium
ninja-vapes.co.uk,al fakher hypermax 30k puffs prefilled vape kit,Al Fakher Crown Bar 30000 Puffs Hypermax Vape Kit,https://vapeonlinestore.co.uk/products/box-of-5-al-fakher-crown-bar-30k,flavour,strawberry cherry,listed on VOS but out of stock,strawberry cherry,9.99,https://www.ninja-vapes.co.uk/product/al-fakher-30k-puffs-hypermax-prefilled-pod-kit,medium
ninja-vapes.co.uk,al fakher hypermax 30k puffs prefilled vape kit,Al Fakher Crown Bar 30000 Puffs Hypermax Vape Kit,https://vapeonlinestore.co.uk/products/box-of-5-al-fakher-crown-bar-30k,flavour,watermelon lime,listed on VOS but out of stock,watermelon lime,9.99,https://www.ninja-vapes.co.uk/product/al-fakher-30k-puffs-hypermax-prefilled-pod-kit,medium
ninja-vapes.co.uk,al fakher hypermax 30k puffs prefilled vape kit,Al Fakher Crown Bar 30000 Puffs Hypermax Vape Kit,https://vapeonlinestore.co.uk/products/box-of-5-al-fakher-crown-bar-30k,flavour,watermelon pineapple,listed on VOS but out of stock,watermelon pineapple,9.99,https://www.ninja-vapes.co.uk/product/al-fakher-30k-puffs-hypermax-prefilled-pod-kit,medium
ninja-vapes.co.uk,al fakher hypermax prime 50k puffs prefilled kit,Al Fakher Hypermax Prime 50000 Prefilled Pods Kit,https://vapeonlinestore.co.uk/products/al-fakher-hypermax-prime-50000,flavour,mango pineapple,not listed on VOS,,12.99,https://www.ninja-vapes.co.uk/product/al-fakher-hypermax-prime-50k,high
ninja-vapes.co.uk,al fakher hypermax prime 50k puffs prefilled kit,Al Fakher Hypermax Prime 50000 Prefilled Pods Kit,https://vapeonlinestore.co.uk/products/al-fakher-hypermax-prime-50000,flavour,strawberry punch,not listed on VOS,,12.99,https://www.ninja-vapes.co.uk/product/al-fakher-hypermax-prime-50k,high
ninja-vapes.co.uk,al fakher hypermax prime 50k puffs prefilled kit,Al Fakher Hypermax Prime 50000 Prefilled Pods Kit,https://vapeonlinestore.co.uk/products/al-fakher-hypermax-prime-50000,flavour,watermelon kiwi,not listed on VOS,,12.99,https://www.ninja-vapes.co.uk/product/al-fakher-hypermax-prime-50k,high
ninja-vapes.co.uk,Aladdin Enjoy Refill Pods,Aladdin Pro Enjoy Prefilled Pod,https://vapeonlinestore.co.uk/products/aladdin-pro-enjoy-x-10000-puffs-prefilled-replacement-pods,flavour,blue raspberry gummy bear,not listed on VOS,,26.99,https://www.ninja-vapes.co.uk/product/box-of-10-aladdin-pro-enjoy-x-10000-pods,reviewed
ninja-vapes.co.uk,Aladdin Enjoy Refill Pods,Aladdin Pro Enjoy Prefilled Pod,https://vapeonlinestore.co.uk/products/aladdin-pro-enjoy-x-10000-puffs-prefilled-replacement-pods,flavour,blueberry sour raspberry,not listed on VOS,,26.99,https://www.ninja-vapes.co.uk/product/box-of-10-aladdin-pro-enjoy-x-10000-pods,reviewed
ninja-vapes.co.uk,Aladdin Enjoy Refill Pods,Aladdin Pro Enjoy Prefilled Pod,https://vapeonlinestore.co.uk/products/aladdin-pro-enjoy-x-10000-puffs-prefilled-replacement-pods,flavour,cherry berry,not listed on VOS,,26.99,https://www.ninja-vapes.co.uk/product/box-of-10-aladdin-pro-enjoy-x-10000-pods,reviewed
ninja-vapes.co.uk,aspire cleito coils,Aspire Cleito Coils,https://vapeonlinestore.co.uk/products/aspire-cleito-replacement-coils-pack-of-5,resistance,0.27ohm,not listed on VOS,,10.99,https://www.ninja-vapes.co.uk/product/aspire-cleito-coils,high
ninja-vapes.co.uk,aspire cleito coils,Aspire Cleito Coils,https://vapeonlinestore.co.uk/products/aspire-cleito-replacement-coils-pack-of-5,resistance,0.2ohm,not listed on VOS,,10.99,https://www.ninja-vapes.co.uk/product/aspire-cleito-coils,high
ninja-vapes.co.uk,Aura Bar Twist 40000 Puffs Prefilled Pods Kit,Aura Bar Twist 40000 By Crystal Prime Kit,https://vapeonlinestore.co.uk/products/aura-bar-twist-40k,flavour,cherry ice cherry cola,not listed on VOS,,49.99,https://www.ninja-vapes.co.uk/product/box-of-10-aura-bar-40k-kits,high
ninja-vapes.co.uk,Aura Bar Twist 40000 Puffs Prefilled Pods Kit,Aura Bar Twist 40000 By Crystal Prime Kit,https://vapeonlinestore.co.uk/products/aura-bar-twist-40k,flavour,slapple black mamba,not listed on VOS,,49.99,https://www.ninja-vapes.co.uk/product/box-of-10-aura-bar-40k-kits,high
ninja-vapes.co.uk,Aura Bar Twist 40000 Puffs Prefilled Pods Kit,Aura Bar Twist 40000 By Crystal Prime Kit,https://vapeonlinestore.co.uk/products/aura-bar-twist-40k,flavour,watermelon rainbow strawberry burst,not listed on VOS,,49.99,https://www.ninja-vapes.co.uk/product/box-of-10-aura-bar-40k-kits,high
ninja-vapes.co.uk,Nic Salt E-Liquid By Bar Juice 5000,Bar Juice 5000 Nic Salt E-Liquid,https://vapeonlinestore.co.uk/products/apple-peach-bar-juice-5000,flavour,grape gummy,not listed on VOS,,3.45,https://www.ninja-vapes.co.uk/product/bar-juice-5000,high
ninja-vapes.co.uk,Nic Salt E-Liquid By Bar Juice 5000,Bar Juice 5000 Nic Salt E-Liquid,https://vapeonlinestore.co.uk/products/apple-peach-bar-juice-5000,flavour,strawberry ice cream best,not listed on VOS,,3.45,https://www.ninja-vapes.co.uk/product/bar-juice-5000,high
ninja-vapes.co.uk,Bar Series 10Ml Nic Salt,Bar Series 10Ml Nic Salt Flavours,https://vapeonlinestore.co.uk/products/bar-series-nic-salt-10ml-e-liquid,flavour,kiwi passion fruit guava,not listed on VOS,,2.95,https://www.ninja-vapes.co.uk/product/kiwi-passion-fruit-guava-nic-salt-bar-series,high
ninja-vapes.co.uk,Nic Salt By Pod Salt Origin,Crime Pod Salt Origin 10Ml Nic Salt,https://vapeonlinestore.co.uk/products/cuban-crime-pod-salt-origin-10ml-nic-salts,flavour,cuban creme,not listed on VOS,,3.95,https://www.ninja-vapes.co.uk/product/cuban-creme-nic-salt-pod-salt-origin,reviewed
ninja-vapes.co.uk,Nic Salt By Pod Salt Origin,Crime Pod Salt Origin 10Ml Nic Salt,https://vapeonlinestore.co.uk/products/cuban-crime-pod-salt-origin-10ml-nic-salts,flavour,liquor tobacco,not listed on VOS,,3.95,https://www.ninja-vapes.co.uk/product/liquor-tobacco-nic-salt-pod-salt-origin,reviewed
ninja-vapes.co.uk,Nic Salt By Pod Salt Origin,Crime Pod Salt Origin 10Ml Nic Salt,https://vapeonlinestore.co.uk/products/cuban-crime-pod-salt-origin-10ml-nic-salts,flavour,royal tobacco,not listed on VOS,,3.95,https://www.ninja-vapes.co.uk/product/royal-tobacco-nic-salt-pod-salt-origin,reviewed
ninja-vapes.co.uk,Nic Salt By Pod Salt Origin,Crime Pod Salt Origin 10Ml Nic Salt,https://vapeonlinestore.co.uk/products/cuban-crime-pod-salt-origin-10ml-nic-salts,flavour,true tobacco,not listed on VOS,,3.95,https://www.ninja-vapes.co.uk/product/true-tobacco-nic-salt-pod-salt-origin,reviewed
ninja-vapes.co.uk,Nic Salt By Pod Salt Origin,Crime Pod Salt Origin 10Ml Nic Salt,https://vapeonlinestore.co.uk/products/cuban-crime-pod-salt-origin-10ml-nic-salts,flavour,virginia gold,not listed on VOS,,3.95,https://www.ninja-vapes.co.uk/product/virginia-gold-nic-salt-pod-salt-origin,reviewed
