competitor,competitor_product,vos_product,vos_url,score,confidence,competitor_url
vampirevape.co.uk,smok tfv12 coils v12-t6,tfv12 coils - 3 pack by smok,https://vapeonlinestore.co.uk/products/tfv12-coils-3-pack-by-smok,1.0,reviewed,https://www.vampirevape.co.uk/smok-tfv12-coils-v12-t6
vampirevape.co.uk,freemax maxpod replacement coils - 1.5 ohm,freemax maxpod ns mesh replacement coils uk,https://vapeonlinestore.co.uk/products/maxpod-ns-mesh-replacement-coils-by-freemax,1.0,reviewed,https://www.vampirevape.co.uk/freemax-maxpod-replacement-coils-1-5-ohm
vampirevape.co.uk,smok tfv12 coils v12-t8,tfv12 coils - 3 pack by smok,https://vapeonlinestore.co.uk/products/tfv12-coils-3-pack-by-smok,1.0,reviewed,https://www.vampirevape.co.uk/smok-tfv12-coils-v12-t8
vampirevape.co.uk,aspire pockex aio - blue,aspire aio pockex pen kit,https://vapeonlinestore.co.uk/products/aio-pockex-aspire-pen-kit,1.0,reviewed,https://www.vampirevape.co.uk/aspire-pockex-aio-blue
vampirevape.co.uk,horizontech falcon coils (3 pack)-m triple ohm,Horizontech Falcon Coils,https://vapeonlinestore.co.uk/products/falcon-coils-3-pack-by-horizontech,1.0,reviewed,https://www.vampirevape.co.uk/horizontech-falcon-coils-3-pack-m-triple-0-15-ohm
vampirevape.co.uk,aspire avp replacement pods - 2pk,aspire avp replacement pods,https://vapeonlinestore.co.uk/products/aspire-avp-replacement-pods,1.0,high,https://www.vampirevape.co.uk/aspire-avp-pods-pack-of-2
vampirevape.co.uk,Smok Infinix Kit,smok infinix pod kit,https://vapeonlinestore.co.uk/products/smok-infinix-pod-kit,1.0,high,https://www.vampirevape.co.uk/smok-infinix-kit-gunmetal
vampirevape.co.uk,Freemax Fireluke 2 Tank,freemax fireluke 2 tank,https://vapeonlinestore.co.uk/products/freemax-fireluke-2-tank,1.0,high,https://www.vampirevape.co.uk/freemax-fireluke-2-tank-metal-green
vampirevape.co.uk,Freemax Fireluke 3 Tank,Freemax - Fireluke 3 - Tank,https://vapeonlinestore.co.uk/products/freemax-fireluke-3-tank,1.0,high,https://www.vampirevape.co.uk/freemax-fireluke-3-tank-resin-black
vampirevape.co.uk,horizontech falcon 2 replacement glass - 2ml,Horizontech Falcon 2 Eu,https://vapeonlinestore.co.uk/products/horizontech-falcon-2-eu-glass,1.0,reviewed,https://www.vampirevape.co.uk/horizontech-falcon-2-replacement-glass-2ml
vampirevape.co.uk,smok tfv16 lite tank-stainless steel,smok tfv16 lite 2ml vape tank sub-ohm vaping,https://vapeonlinestore.co.uk/products/tfv16-lite-sub-ohm-tank-by-smok,1.0,reviewed,https://www.vampirevape.co.uk/smok-tfv16-lite-tank-stainless-steel
vampirevape.co.uk,Pod Kit Red,horizontech magico nic salt stick kit,https://vapeonlinestore.co.uk/products/horizontech-magico-nic-salt-stick-kit,1.0,reviewed,https://www.vampirevape.co.uk/magico-pod-kit-red
vampirevape.co.uk,Freebase Vape Juice 10Ml Vampire Vape,Vampire Vape 10Ml E-Liquid,https://vapeonlinestore.co.uk/products/pack-of-10-vampire-vape-10ml-e-liquid,1.0,high,https://www.vampirevape.co.uk/vampire-vape-dawn-10ml-e-liquid
vampirevape.co.uk,Nic Salt Vape Juice 10Ml Vampire Vape,Vampire Vape 10Ml E-Liquid,https://vapeonlinestore.co.uk/products/pack-of-10-vampire-vape-10ml-e-liquid,1.0,high,https://www.vampirevape.co.uk/vampire-vape-nic-salt-pinkman-10ml-e-liquid
vampirevape.co.uk,Vampire Vape 70 30 10Ml E-Liquid,Vampire Vape 10Ml E-Liquid,https://vapeonlinestore.co.uk/products/pack-of-10-vampire-vape-10ml-e-liquid,1.0,reviewed,https://www.vampirevape.co.uk/vampire-vape-heisenberg-70-30-10ml-e-liquid
vampirevape.co.uk,1961 Freebase Vape Juice 10Ml Vampire Vape,Vampire Vape 10Ml E-Liquid,https://vapeonlinestore.co.uk/products/pack-of-10-vampire-vape-10ml-e-liquid,1.0,reviewed,https://www.vampirevape.co.uk/vampire-vape-tobacco-1961-10ml-e-liquid
vampirevape.co.uk,eleaf istick 10w,eleaf mini istick 10w box mod,https://vapeonlinestore.co.uk/products/eleaf-mini-istick-10w-mod,1.0,reviewed,https://www.vampirevape.co.uk/eleaf-istick-10w
vampirevape.co.uk,eleaf istick 20w,eleaf istick 20w mod,https://vapeonlinestore.co.uk/products/eleaf-istick-20w-mod,1.0,reviewed,https://www.vampirevape.co.uk/eleaf-istick-20w
vampirevape.co.uk,innokin endura t22e vape kit,Innokin Endura T22E Vape Kit,https://vapeonlinestore.co.uk/products/innokin-endura-t22e-vape-kit,1.0,high,https://www.vampirevape.co.uk/innokin-endura-t22e-vape-kit
vampirevape.co.uk,aspire k3 vape tank,aspire k3 tank replacement,https://vapeonlinestore.co.uk/products/aspire-k3-tank,1.0,high,https://www.vampirevape.co.uk/aspire-k3-vape-tank
vampirevape.co.uk,smok p - baby t12 light coils - 5pk,smok v8 baby t12 replacement vape coils,https://vapeonlinestore.co.uk/products/tfv8-t12-baby-coils-by-smok,1.0,reviewed,https://www.vampirevape.co.uk/smok-p-baby-t12-light-coils-5pk
vampirevape.co.uk,innokin prism t20s vape tank,innokin prism t20s replacement vape tank,https://vapeonlinestore.co.uk/products/innokin-prism-t20s-tank,1.0,high,https://www.vampirevape.co.uk/innokin-prism-t20s-vape-tank
