competitor,competitor_product,vos_product,vos_url,variant_type,missing_variant,vos_status,vos_closest_variant,competitor_price,competitor_url,match_confidence
vampirevape.co.uk,elfbar elfa pro prefilled pods - 20mg - 2pk,Elfa Pro 20Mg Prefilled Pods,https://vapeonlinestore.co.uk/products/apple-peach-elfa-pro-prefilled-pods,flavour,cola,not listed on VOS,,4.99,https://www.vampirevape.co.uk/elfbar-elfa-pro-prefilled-pods-20mg-2pk,high
vampirevape.co.uk,Freemax Fireluke 3 Tank,Freemax - Fireluke 3 - Tank,https://vapeonlinestore.co.uk/products/freemax-fireluke-3-tank,colour,resin black,not listed on VOS,,10.99,https://www.vampirevape.co.uk/freemax-fireluke-3-tank-resin-black,high
vampirevape.co.uk,Freemax Fireluke 3 Tank,Freemax - Fireluke 3 - Tank,https://vapeonlinestore.co.uk/products/freemax-fireluke-3-tank,colour,resin yellow,not listed on VOS,,10.99,https://www.vampirevape.co.uk/freemax-fireluke-3-tank-resin-yellow,high
vampirevape.co.uk,hayati pro max plus prefilled vape kit,Hayati Pro Max Plus 6000 Prefilled Pods Kit,https://vapeonlinestore.co.uk/products/hayati-pro-max-plus-6000,flavour,blackberry ice,not listed on VOS,,6.49,https://www.vampirevape.co.uk/hayati-pro-max-plus-prefilled-vape-kit,medium
vampirevape.co.uk,hayati pro max plus prefilled pod & refill,Hayati Pro Max Plus 6000 Replacement Refill Pods,https://vapeonlinestore.co.uk/products/hayati-pro-max-plus-6000-replacement-pods,flavour,h bubba,not listed on VOS,,6.99,https://www.vampirevape.co.uk/hayati-pro-max-plus-prefilled-pod-refill,medium
vampirevape.co.uk,hayati pro max plus prefilled pod & refill,Hayati Pro Max Plus 6000 Replacement Refill Pods,https://vapeonlinestore.co.uk/products/hayati-pro-max-plus-6000-replacement-pods,flavour,strawberry h bubba,not listed on VOS,,6.99,https://www.vampirevape.co.uk/hayati-pro-max-plus-prefilled-pod-refill,medium
vampirevape.co.uk,hayati pro ultra 25k prefilled vape kit,Hayati Pro Ultra Plus 25000 Prefilled Pods Kit,https://vapeonlinestore.co.uk/products/hayati-pro-ultra,flavour,blackcurrant cotton k,not listed on VOS,,7.99,https://www.vampirevape.co.uk/hayati-pro-ultra-25k-prefilled-kit,high
vampirevape.co.uk,lost mary bm600 prefilled vape kit,Lost Mary Bm600 Prefilled Reusable Pod Kit,https://vapeonlinestore.co.uk/products/lost-mary-bm600-disposable-vape,flavour,blue raspberry lemonade,not listed on VOS,,3.99,https://www.vampirevape.co.uk/lost-mary-bm600-prefilled-vape-kit-20mg,high
vampirevape.co.uk,lost mary bm600 prefilled vape kit,Lost Mary Bm600 Prefilled Reusable Pod Kit,https://vapeonlinestore.co.uk/products/lost-mary-bm600-disposable-vape,flavour,fizzy cherry,not listed on VOS,,3.99,https://www.vampirevape.co.uk/lost-mary-bm600-prefilled-vape-kit-20mg,high
vampirevape.co.uk,lost mary bm600 prefilled vape kit,Lost Mary Bm600 Prefilled Reusable Pod Kit,https://vapeonlinestore.co.uk/products/lost-mary-bm600-disposable-vape,flavour,fizzy pineapple,not listed on VOS,,3.99,https://www.vampirevape.co.uk/lost-mary-bm600-prefilled-vape-kit-20mg,high
vampirevape.co.uk,lost mary bm600 prefilled vape kit,Lost Mary Bm600 Prefilled Reusable Pod Kit,https://vapeonlinestore.co.uk/products/lost-mary-bm600-disposable-vape,flavour,guava ice,not listed on VOS,,3.99,https://www.vampirevape.co.uk/lost-mary-bm600-prefilled-vape-kit-20mg,high
vampirevape.co.uk,lost mary bm600 prefilled vape kit,Lost Mary Bm600 Prefilled Reusable Pod Kit,https://vapeonlinestore.co.uk/products/lost-mary-bm600-disposable-vape,flavour,mint tobacco,not listed on VOS,,3.99,https://www.vampirevape.co.uk/lost-mary-bm600-prefilled-vape-kit-20mg,high
vampirevape.co.uk,lost mary bm600 prefilled vape kit,Lost Mary Bm600 Prefilled Reusable Pod Kit,https://vapeonlinestore.co.uk/products/lost-mary-bm600-disposable-vape,flavour,p b cloudd,not listed on VOS,,3.99,https://www.vampirevape.co.uk/lost-mary-bm600-prefilled-vape-kit-20mg,high
vampirevape.co.uk,lost mary bm600 prefilled vape kit,Lost Mary Bm600 Prefilled Reusable Pod Kit,https://vapeonlinestore.co.uk/products/lost-mary-bm600-disposable-vape,flavour,strawberry raspberry cherry,not listed on VOS,,3.99,https://www.vampirevape.co.uk/lost-mary-bm600-prefilled-vape-kit-20mg,high
vampirevape.co.uk,Lost Mary Bm6000 Prefilled Vape Kit,Lost Mary Bm6000 Prefilled Pods Vape Kit,https://vapeonlinestore.co.uk/products/triple-mango-lost-mary-bm6000,flavour,acai berry blueberry,not listed on VOS,,6.49,https://www.vampirevape.co.uk/lost-mary-bm6000-prefilled-vape-kit,high
vampirevape.co.uk,Lost Mary Bm6000 Prefilled Vape Kit,Lost Mary Bm6000 Prefilled Pods Vape Kit,https://vapeonlinestore.co.uk/products/triple-mango-lost-mary-bm6000,flavour,blue raspberry cherry,not listed on VOS,,6.49,https://www.vampirevape.co.uk/lost-mary-bm6000-prefilled-vape-kit,high
vampirevape.co.uk,Lost Mary Bm6000 Prefilled Pods 20Mg,Lost Mary Bm6000 Refill Pods,https://vapeonlinestore.co.uk/products/lost-mary-bm6000-prefilled-replacement-pods,flavour,blackcurrant lemonade,not listed on VOS,,6.49,https://www.vampirevape.co.uk/lost-mary-bm6000-prefilled-pod-1pk,high
vampirevape.co.uk,Lost Mary Bm6000 Prefilled Pods 20Mg,Lost Mary Bm6000 Refill Pods,https://vapeonlinestore.co.uk/products/lost-mary-bm6000-prefilled-replacement-pods,flavour,cherry berry,not listed on VOS,,6.49,https://www.vampirevape.co.uk/lost-mary-bm6000-prefilled-pod-1pk,high
vampirevape.co.uk,Lost Mary Bm6000 Prefilled Pods 20Mg,Lost Mary Bm6000 Refill Pods,https://vapeonlinestore.co.uk/products/lost-mary-bm6000-prefilled-replacement-pods,flavour,fruit medley,not listed on VOS,,6.49,https://www.vampirevape.co.uk/lost-mary-bm6000-prefilled-pod-1pk,high
vampirevape.co.uk,Lost Mary Bm6000 Prefilled Pods 20Mg,Lost Mary Bm6000 Refill Pods,https://vapeonlinestore.co.uk/products/lost-mary-bm6000-prefilled-replacement-pods,flavour,kiwi passion guava,not listed on VOS,,6.49,https://www.vampirevape.co.uk/lost-mary-bm6000-prefilled-pod-1pk,high
vampirevape.co.uk,Lost Mary Bm6000 Prefilled Pods 20Mg,Lost Mary Bm6000 Refill Pods,https://vapeonlinestore.co.uk/products/lost-mary-bm6000-prefilled-replacement-pods,flavour,latte,not listed on VOS,,6.49,https://www.vampirevape.co.uk/lost-mary-bm6000-prefilled-pod-1pk,high
vampirevape.co.uk,Lost Mary Bm6000 Prefilled Pods 20Mg,Lost Mary Bm6000 Refill Pods,https://vapeonlinestore.co.uk/products/lost-mary-bm6000-prefilled-replacement-pods,flavour,miami mint,listed on VOS but out of stock,miami mint,6.49,https://www.vampirevape.co.uk/lost-mary-bm6000-prefilled-pod-1pk,high
