competitor,competitor_product,vos_product,vos_url,score,confidence,competitor_url
vapeshop.co.uk,Velo Pouches,velo nicotine pouches,https://vapeonlinestore.co.uk/products/velo-nicotine-pouches,1.0,high,https://vapeshop.co.uk/products/smooth-papaya-velo-nicotine-pouches
vapeshop.co.uk,oxva vprime 2 kit,oxva vprime 2 pod kit,https://vapeonlinestore.co.uk/products/oxva-vprime-2,1.0,high,https://vapeshop.co.uk/products/oxva-vprime-2-kit
vapeshop.co.uk,Fumi Pouches,fumi nicotine pouches,https://vapeonlinestore.co.uk/products/fumi-nicotine-pouches,1.0,high,https://vapeshop.co.uk/products/fiery-mint-fumi-nicotine-pouches
vapeshop.co.uk,Ske Bar 15000 Refill Pods,ske bar 15000 puff prefilled refill pods,https://vapeonlinestore.co.uk/products/ske-bar-15000-puff-refill-pod,1.0,high,https://vapeshop.co.uk/products/strawberry-hubbla-bubbla-ske-bar-15k-refill-pack
vapeshop.co.uk,Voopoo Pnp X Coils,Voopoo Pnp Coils,https://vapeonlinestore.co.uk/products/voopoo-pnp-replacement-coils,1.0,high,https://vapeshop.co.uk/products/voopoo-pnp-x-coils
vapeshop.co.uk,feoba pro plus 10k pods,feoba pro plus 10k prefilled pods,https://vapeonlinestore.co.uk/products/feoba-pro-plus-10k-pods,1.0,high,https://vapeshop.co.uk/products/foeba-pro-plus-10k-pods
vapeshop.co.uk,feoba pro plus 10k kit,feoba pro plus 10k prefilled pod kit,https://vapeonlinestore.co.uk/products/feoba-pro-plus-10k,1.0,high,https://vapeshop.co.uk/products/feoba-pro-plus-10k-kit
vapeshop.co.uk,Killa Pouches,killa nicotine pouches next day delivery,https://vapeonlinestore.co.uk/products/killa-nicotine-pouches,1.0,reviewed,https://vapeshop.co.uk/products/spearmint-killa-nicotine-pouches
vapeshop.co.uk,Pablo Pouches,pablo 50mg nicotine pouches,https://vapeonlinestore.co.uk/products/pablo-50mg-nicotine-pouches,1.0,high,https://vapeshop.co.uk/products/blueberry-peach-ice-pablo-nicotine-pouches
vapeshop.co.uk,Pablo Silver Edition Pouches,pablo silver edition nicotine pouches,https://vapeonlinestore.co.uk/products/pablo-silver-edition-nicotine-pouches,1.0,high,https://vapeshop.co.uk/products/spearmint-pablo-silver-edition-nicotine-pouches
vapeshop.co.uk,pro blue ivg smart max refill pack,Ivg Smart Max 10000 Puffs Prefilled Refill Pods,https://vapeonlinestore.co.uk/products/ivg-smart-max-pods,1.0,reviewed,https://vapeshop.co.uk/products/pro-blue-ivg-smart-max-refill-pack
vapeshop.co.uk,Dojo Blast 10000 Refill Pods,Vaporesso Dojo Blast 10000 Prefilled Pods,https://vapeonlinestore.co.uk/products/vaporesso-dojo-blast-10k-pods,1.0,high,https://vapeshop.co.uk/products/classic-tobacco-dojo-blast-10k-refill-pack
vapeshop.co.uk,dojo blast 30k pro kit,vaporesso dojo blast 30k pro pod kit,https://vapeonlinestore.co.uk/products/vaporesso-dojo-blast-30k-pro-pod-kit,1.0,high,https://vapeshop.co.uk/products/dojo-blast-30k-pro-kit
vapeshop.co.uk,drifter poco pro kit,drifter poco pro prefilled pod kit,https://vapeonlinestore.co.uk/products/drifter-poco-pro-pod-kit,1.0,high,https://vapeshop.co.uk/products/drifter-poco-pro-kit
vapeshop.co.uk,drifter poco pro pods,drifter poco pro prefilled pods,https://vapeonlinestore.co.uk/products/drifter-poco-pro-pods,1.0,high,https://vapeshop.co.uk/products/drifter-poco-pro-pods
vapeshop.co.uk,ske crystal plus pod kit,ske crystal plus prefilled vape pod kit,https://vapeonlinestore.co.uk/products/ske-crystal-plus-pod-kit,1.0,high,https://vapeshop.co.uk/products/ske-crystal-plus-pod-kit
vapeshop.co.uk,Ske Plus Pods,Ske Plus Prefilled Pods 20Mg,https://vapeonlinestore.co.uk/products/ske-crystal-plus-pre-filled-pods-20mg,1.0,high,https://vapeshop.co.uk/products/strawberry-burst-ske-crystal-plus-pods
vapeshop.co.uk,vaporesso vibe se 2 kit,vaporesso vibe se 2 pod kit,https://vapeonlinestore.co.uk/products/vaporesso-vibe-se-2-pod-kit,1.0,high,https://vapeshop.co.uk/products/vaporesso-vibe-se-2-kit
vapeshop.co.uk,oxva nexlim 2 kit,oxva nexlim 2 vape kit,https://vapeonlinestore.co.uk/products/oxva-nexlim-2-vape-kit,1.0,high,https://vapeshop.co.uk/products/oxva-nexlim-2-kit
vapeshop.co.uk,oxva nexlim 2 mini kit,oxva nexlim 2 mini vape kit,https://vapeonlinestore.co.uk/products/oxva-nexlim-2-mini-vape-kit,1.0,high,https://vapeshop.co.uk/products/oxva-nexlim-2-mini-kit
vapeshop.co.uk,geekvape aegis mini 5 kit,geekvape aegis mini 5 vape kit,https://vapeonlinestore.co.uk/products/geekvape-aegis-mini-5,1.0,high,https://vapeshop.co.uk/products/geekvape-aegis-mini-5-kit
vapeshop.co.uk,aspire pixo pods,aspire pixo 3ml pods pack of 2,https://vapeonlinestore.co.uk/products/aspire-pixo-pods,1.0,high,https://vapeshop.co.uk/products/aspire-pixo-replacement-pods
vapeshop.co.uk,aspire pixo max pod kit,aspire pixo max vape kit,https://vapeonlinestore.co.uk/products/aspire-pixo-max-vape-kit,1.0,high,https://vapeshop.co.uk/products/aspire-pixo-max-pod-kit
vapeshop.co.uk,Nic Salt,Oxva Ox Passion 10Ml Nic Salt E-Liquid,https://vapeonlinestore.co.uk/products/oxva-ox-passion-10ml-nic-salts-e-liquid,1.0,reviewed,https://vapeshop.co.uk/products/juicy-peach-ox-passion-nic-salt
vapeshop.co.uk,geekvape sonder q3 kit,geekvape sonder q3 pod vape kit,https://vapeonlinestore.co.uk/products/geekvape-sonder-q3-vape-kit,1.0,high,https://vapeshop.co.uk/products/geekvape-sonder-q3-kit
vapeshop.co.uk,vaporesso xros 6 kit,vaporesso xros 6 pod vape kit,https://vapeonlinestore.co.uk/products/vaporesso-xros-6-pod-kit,1.0,high,https://vapeshop.co.uk/products/vaporesso-xros-6-kit
vapeshop.co.uk,vaporesso xros 6 mini kit,vaporesso xros 6 mini pod vape kit,https://vapeonlinestore.co.uk/products/vaporesso-xros-6-mini-pod-kit,1.0,high,https://vapeshop.co.uk/products/vaporesso-xros-6-mini-kit
vapeshop.co.uk,smok nord 6 kit,smok nord 6 vape kit,https://vapeonlinestore.co.uk/products/smok-nord-6-vape-kit,1.0,high,https://vapeshop.co.uk/products/smok-nord-6-kit
vapeshop.co.uk,smok novo 6 kit,smok novo 6 pod vape kit,https://vapeonlinestore.co.uk/products/smok-novo-6-pod-kit,1.0,high,https://vapeshop.co.uk/products/smok-novo-6-kit
vapeshop.co.uk,smok novo 6 ultra kit,smok novo 6 ultra vape kit,https://vapeonlinestore.co.uk/products/smok-novo-6-ultra-vape-kit,1.0,high,https://vapeshop.co.uk/products/smok-novo-6-ultra-kit
vapeshop.co.uk,Lost Mary Bm6000 Refill Pods,Lost Mary Bm6000 Refill Pods,https://vapeonlinestore.co.uk/products/lost-mary-bm6000-prefilled-replacement-pods,1.0,high,https://vapeshop.co.uk/products/latte-lost-mary-bm6000-refill-pack
vapeshop.co.uk,vaporesso xros mini retro kit,vaporesso xros mini retro pod kit,https://vapeonlinestore.co.uk/products/vaporesso-xros-mini-retro-pod-kit,1.0,high,https://vapeshop.co.uk/products/vaporesso-xros-mini-retro-kit
vapeshop.co.uk,Vampire Vape Max Nic Salt,vampire vape max 10ml nic salts,https://vapeonlinestore.co.uk/products/vampire-vape-max-10ml,1.0,high,https://vapeshop.co.uk/products/orange-pineapple-vampire-vape-max-nic-salt
vapeshop.co.uk,elfbar elfx 2.0 pods,elf bar elfx 2.0 replacement pods,https://vapeonlinestore.co.uk/products/elf-bar-elfx-2-pods,1.0,high,https://vapeshop.co.uk/products/elfbar-elfx-2-0-pods
vapeshop.co.uk,Vuse Go Reload 1000 Kit,vuse go reload 1000 puffs pod kit,https://vapeonlinestore.co.uk/products/vuse-go-reload-1000-pod-kit,1.0,high,https://vapeshop.co.uk/products/cherry-ice-vuse-go-reload-1000-kit
vapeshop.co.uk,Nic Salt By Elux 10Ml,Elux Legend Nic Salt 10Ml E-Liquid,https://vapeonlinestore.co.uk/products/elux-legend-10ml-nic-salts,1.0,reviewed,https://vapeshop.co.uk/products/spearmint-nic-salt-by-elux-10ml
vapeshop.co.uk,voopoo argus g4 mini kit,voopoo argus g4 mini vape kit,https://vapeonlinestore.co.uk/products/voopoo-argus-g4-mini-vape-kit,1.0,high,https://vapeshop.co.uk/products/voopoo-argus-g4-mini-kit
vapeshop.co.uk,voopoo argus g4 kit,voopoo argus g4 vape kit,https://vapeonlinestore.co.uk/products/voopoo-argus-g4-vape-kit,1.0,high,https://vapeshop.co.uk/products/voopoo-argus-g4-kit
vapeshop.co.uk,aspire loomix pods,aspire loomix replacement pods,https://vapeonlinestore.co.uk/products/aspire-loomix-pods,1.0,high,https://vapeshop.co.uk/products/aspire-loomix-pods
vapeshop.co.uk,aspire loomix pod kit,aspire loomix vape pod kit,https://vapeonlinestore.co.uk/products/aspire-loomix-pod-kit,1.0,reviewed,https://vapeshop.co.uk/products/aspire-loomix-pod-kit
vapeshop.co.uk,Elf Bar 600 Pods,elf bar 600 prefilled pods,https://vapeonlinestore.co.uk/products/elf-bar-600-prefilled-pods,1.0,high,https://vapeshop.co.uk/products/grape-elfbar-600-pods
vapeshop.co.uk,Ivg Pro 12 Refill Pods,Ivg Pro 12 Prefilled Refill Pods,https://vapeonlinestore.co.uk/products/fresh-menthol-mojito-ivg-pro-12-pods,1.0,high,https://vapeshop.co.uk/products/pink-lemonade-ivg-pro-12-refill-pack
vapeshop.co.uk,Pixl 8000 Refill Pods,pixl 8000 prefilled pods pack of 1,https://vapeonlinestore.co.uk/products/pixl-8000-prefilled-pods,1.0,high,https://vapeshop.co.uk/products/watermelon-ice-pixl-8000-refill-pack
vapeshop.co.uk,Lost Mary Nera15000 Refill Pods,box of 10 lost mary nera 15k puffs prefilled replacement pods,https://vapeonlinestore.co.uk/products/box-of-10-lost-mary-nera-pods,1.0,high,https://vapeshop.co.uk/products/blueberry-sour-raspberry-lost-mary-nera15k-refill-pack
vapeshop.co.uk,lost mary nera15k kit,lost mary nera 15k prefilled pod kit,https://vapeonlinestore.co.uk/products/lost-mary-nera-15k,1.0,high,https://vapeshop.co.uk/products/lost-mary-nera15k-kit
vapeshop.co.uk,Lost Mary Tappo Pods,lost mary tappo prefilled replacement pods pack of 2,https://vapeonlinestore.co.uk/products/lost-mary-tappo-prefilled-replacement-pods,1.0,high,https://vapeshop.co.uk/products/strawberry-ice-lost-mary-tappo-pods
vapeshop.co.uk,oxva xlim go lite kit,oxva xlim go lite pod kit,https://vapeonlinestore.co.uk/products/oxva-xlim-go-lite-pod-kit,1.0,high,https://vapeshop.co.uk/products/oxva-xlim-go-lite-kit
vapeshop.co.uk,Elfliq Nic Salt By Elf Bar 10Ml,Elf Bar Elfliq 10Ml Nic Salt,https://vapeonlinestore.co.uk/products/elfliq-10ml-e-liquid-nic-salts,1.0,high,https://vapeshop.co.uk/products/blueberry-cherry-cranberry-elfliq-nic-salt-by-elfbar-10ml
vapeshop.co.uk,Nic Salt By Hayati Pro Max 10Ml,Hayati Pro Max 10Ml Nic Salt E-Liquid,https://vapeonlinestore.co.uk/products/blueberry-raspberry-hayati-pro-max-10ml,1.0,high,https://vapeshop.co.uk/products/bubblegum-ice-nic-salt-by-hayati-pro-max-10ml
vapeshop.co.uk,Pablo Gold Edition Pouches,pablo golden edition nicotine pouches,https://vapeonlinestore.co.uk/products/pablo-golden-edition-nicotine-pouches,1.0,reviewed,https://vapeshop.co.uk/products/white-mint-pablo-gold-edition-nicotine-pouches
vapeshop.co.uk,Ske Cl6000 Pods,ske crystal cl6000 replacement pods pack of 1,https://vapeonlinestore.co.uk/products/ske-crystal-cl6000-pods,1.0,high,https://vapeshop.co.uk/products/peach-mango-watermelon-ske-crystal-cl6000-pods
vapeshop.co.uk,Slim Stick Cartridges By Oxva,oxva slimstick prefilled pods,https://vapeonlinestore.co.uk/products/oxva-slimstick-prefilled-pods,1.0,reviewed,https://vapeshop.co.uk/products/mint-slim-stick-cartridges-by-oxva
vapeshop.co.uk,Lost Mary Bm600 Pods,lost mary bm600 prefilled replacement pods pack of 2,https://vapeonlinestore.co.uk/products/lost-mary-bm600-prefilled-pods,1.0,high,https://vapeshop.co.uk/products/cherry-peach-lemonade-lost-mary-bm600-pods
vapeshop.co.uk,vaporesso xros 5 mini kit,vaporesso xros 5 mini pod vape kit,https://vapeonlinestore.co.uk/products/vaporesso-xros-5-mini,1.0,high,https://vapeshop.co.uk/products/vaporesso-xros-5-mini-kit
vapeshop.co.uk,Blu Bar Pods,blu bar prefilled refill pods,https://vapeonlinestore.co.uk/products/blu-bar-pods,1.0,high,https://vapeshop.co.uk/products/mint-blu-bar-pods
vapeshop.co.uk,elfbar plus 12 kit,elf bar plus 12000 prefilled pod kit,https://vapeonlinestore.co.uk/products/elf-bar-plus-12000,1.0,reviewed,https://vapeshop.co.uk/products/elfbar-plus-12-kit
vapeshop.co.uk,voopoo drag 6 kit,voopoo drag 6 vape kit,https://vapeonlinestore.co.uk/products/voopoo-drag-6-vape-kit,1.0,high,https://vapeshop.co.uk/products/voopoo-drag-6-kit
vapeshop.co.uk,Nic Salt By Dinner Lady Dessert Bar Range,dinner lady dessert bar salts 5mg 10ml nic salts,https://vapeonlinestore.co.uk/products/dinner-lady-dessert-bar-salts-5mg-10ml,1.0,reviewed,https://vapeshop.co.uk/products/pistachio-gelato-nic-salt-by-dinner-lady-dessert-bar-range
vapeshop.co.uk,Ox Passion Nic Salt,Oxva Ox Passion 10Ml Nic Salt E-Liquid,https://vapeonlinestore.co.uk/products/oxva-ox-passion-10ml-nic-salts-e-liquid,1.0,reviewed,https://vapeshop.co.uk/products/lychee-ice-ox-passion-nic-salt
vapeshop.co.uk,vampire vape 10k refill pack,vampire vape 10k prefilled pods,https://vapeonlinestore.co.uk/products/vampire-vape-10k-pods,1.0,high,https://vapeshop.co.uk/products/vampire-vape-10k-refill-pack
vapeshop.co.uk,vampire vape 10k kit,vampire vape 10k prefilled pod kit,https://vapeonlinestore.co.uk/products/vampire-vape-10k,1.0,high,https://vapeshop.co.uk/products/vampire-vape-10k-kit
