competitor,product,brand,type,in_stock_flavours,flavours_in_stock,other_variants_in_stock,price_from,listings,example_listing,competitor_url,more_urls,closest_vos_product,closest_vos_score
vapeshop.co.uk,aquavape uk mains adapter,aquavape,accessory,0,,,6.99,1,Aquavape UK Mains Adapter,https://vapeshop.co.uk/products/aquavape-uk-mains-adapter,,,
vapeshop.co.uk,micro usb charger,ecigwizard,accessory,0,,,3.49,1,Micro USB Charger,https://vapeshop.co.uk/products/micro-usb-charger,,,
vapeshop.co.uk,usb-c charging cable,ecigwizard,accessory,0,,,4.99,1,USB-C Charging Cable,https://vapeshop.co.uk/products/usb-c-to-usb-a-charging-cable-2a-black,,,
vapeshop.co.uk,blueberry cotton k hayati mini ultra refill pack,hayati,accessory,0,,strength: 20mg,2.99,1,Blueberry Cotton K Hayati Mini Ultra Refill Pack,https://vapeshop.co.uk/products/blueberry-cotton-k-hayati-mini-ultra-refill-pack,,Blueberry Cotton K Raspberry Cotton K Hayati Pro Ultra Plus 25000 Pod Vape Kit,0.43
vapeshop.co.uk,juul2 usb charging dock,juul,accessory,0,,,1.99,1,JUUL2 USB Charging Dock,https://vapeshop.co.uk/products/juul2-usb-charging-dock,,,
vapeshop.co.uk,charger by vampire vape 10ml,vampire vape,accessory,0,,strength: 6mg,1.79,1,Charger by Vampire Vape 10ml,https://vapeshop.co.uk/products/charger-by-vampire-vape-10ml,,,
vapeshop.co.uk,vapemate classic raspberry cotton candy 10ml,vapemate,accessory,0,,"strength: 12mg, 18mg, 3mg, 6mg",2.99,1,Vapemate Classic Raspberry Cotton Candy 10ml,https://vapeshop.co.uk/products/vapemate-classic-raspberry-cotton-candy,,,
vapeshop.co.uk,voopoo argus klyc replacement cap,voopoo,accessory,0,,"colour: dreamy blue, mystic gray",1.99,1,VooPoo Argus Klyc Replacement Cap,https://vapeshop.co.uk/products/voopoo-argus-klyc-replacement-cap,,,
vapeshop.co.uk,vuse ultra wireless charger,vuse,accessory,0,,,9.99,1,Vuse Ultra Wireless Charger,https://vapeshop.co.uk/products/vuse-ultra-wireless-charger,,,
vapeshop.co.uk,ego 1100mah battery,ego,battery,0,,"colour: black, silver",12.99,1,eGo 1100mAh Battery,https://vapeshop.co.uk/products/ego-battery-1100mah,,,
vapeshop.co.uk,ego 900mah battery,ego,battery,0,,colour: black,5.99,1,eGo 900mAh Battery,https://vapeshop.co.uk/products/900mah-ego-battery,,,
vapeshop.co.uk,golisi e1 plus portable power bank 1600mah,golisi,battery,0,,"colour: black, pink, white",4.99,1,Golisi E1 Plus Portable Power Bank 1600mAh,https://vapeshop.co.uk/products/golisi-e1-plus-portable-power-bank-1600mah,,,
vapeshop.co.uk,ske crystal plus pod device battery,ske,battery,0,,colour: aurora blue,3.49,1,SKE Crystal Plus Pod Device Battery,https://vapeshop.co.uk/products/ske-crystal-plus-pod-device-battery,,,
vapeshop.co.uk,vuse ultra battery,vuse,battery,0,,colour: blue,9.99,1,Vuse Ultra Battery,https://vapeshop.co.uk/products/vuse-ultra-battery,,,
vapeshop.co.uk,aspire flexus af replacement mesh coils (pack of 5),aspire,coil,0,,"resistance: 0.6ohms, 1.0ohms",5.99,1,Aspire Flexus AF Replacement Mesh Coils (Pack of 5),https://vapeshop.co.uk/products/aspire-flexus-af-replacement-mesh-coils-pack-of-5,,,
vapeshop.co.uk,geekvape z xm (boost version) coils (pack of 5),geekvape,coil,0,,"resistance: 0.15ohm, 0.2ohm, 0.4ohm",12.99,1,Geekvape Z XM (Boost Version) Coils (Pack of 5),https://vapeshop.co.uk/products/geekvape-z-xm-boost-version-coils,,aegis boost pod & coil pack by geek vape,0.15
vapeshop.co.uk,uwell crown m replacement coils (pack of 4),uwell,coil,0,,resistance: 0.6ohms,6.99,1,Uwell Crown M Replacement Coils (Pack of 4),https://vapeshop.co.uk/products/uwell-crown-m-replacement-coils-pack-of-4,,uwell crown v replacement coils [pack of 4],0.45
vapeshop.co.uk,vaporesso gti dual mesh coils,vaporesso,coil,0,,"resistance: 0.2ohm, 0.4ohm",9.99,1,Vaporesso GTi Dual Mesh Coils,https://vapeshop.co.uk/products/vaporesso-g-ti-dual-mesh-coils,,vaporesso gtx mesh coils pack of 5,0.35
vapeshop.co.uk,vaporesso gti mesh replacement coils (pack of 5),vaporesso,coil,0,,"resistance: 0.15ohms, 0.2ohms, 0.4ohms",7.99,1,Vaporesso GTi Mesh Replacement Coils (Pack of 5),https://vapeshop.co.uk/products/vaporesso-gti-mesh-replacement-coils-pack-of-5,,vaporesso gtx mesh coils pack of 5,0.4
vapeshop.co.uk,By Bottled Mary,lost mary,eliquid,21,apple peach; blackcurrant lemonade; blue raspberry lemonade; blueberry banana; blueberry cherry cranberry; blueberry ice; blueberry pomegranate; blueberry raspberry lemon; blueberry sour raspberry; grape; jelly bear; lemon lime; mr blue; passion fruit orange guava; pineapple ice; pink lemonade; rainbow candy; strawberry kiwi; strawberry raspberry cherry ice; strawberry watermelon bubblegum; triple mango,"strength: 10mg, 20mg, 5mg",1.99,21,Blueberry Raspberry Lemon by Bottled Mary,https://vapeshop.co.uk/products/blueberry-raspberry-lemon-by-bottled-mary,https://vapeshop.co.uk/products/grape-by-bottled-mary https://vapeshop.co.uk/products/pink-lemonade-by-bottled-mary https://vapeshop.co.uk/products/jelly-bear-by-bottled-mary,Lost Mary Nic Salt 10Ml E-Liquid,0.4
vapeshop.co.uk,70 30 By Vampire Vape 10Ml,vampire vape,eliquid,1,heisenberg,"strength: 3mg, 6mg",1.79,1,Heisenberg 70/30 by Vampire Vape 10ml,https://vapeshop.co.uk/products/heisenberg-70-30-by-vampire-vape-10ml,,,
vapeshop.co.uk,Vapemate Classic 10Ml,vapemate,eliquid,67,amber blend tobacco; aniseed; apple; apple cinnamon; apple menthol; banana; banoffee pie; black cherry; black jack; blackberry; blackcurrant; blackcurrant menthol; blueberry; blueberry breeze; bubblegum; butterscotch; caramel; cherry cola; cherry menthol; cinnamon cream; cinnamon vanilla custard; citrus punch; coconut; cola cubes; energy drink; fresh strawberry; fruit punch; glazed doughnut; gummy bears; hazelnut; iron brew; kiwi; lemon; lemon sherbet; lemonade; mango; marshmallow; menthol; menthol chill; milk chocolate; mint choc chip; parma violet; peach; peanut butter; pear drops; peppermint; pina colada; pineapple; rainbow fruit; raspberry; raspberry menthol; rhubarb custard; sour cherry; spearmint; strawberry; strawberry cream; strawberry menthol; strawberry milkshake; sweet cherry; sweet orange; tobacco menthol; vanilla custard; very vanilla; virginia tobacco; vm tobacco; watermelon; wild strawberry,"strength: 0mg, 12mg, 18mg, 3mg, 6mg",0.99,67,Vapemate Classic Fresh Strawberry 10ml,https://vapeshop.co.uk/products/vapemate-classic-fresh-strawberry-10ml,https://vapeshop.co.uk/products/vapemate-classic-blueberry-breeze-10ml https://vapeshop.co.uk/products/vapemate-classic-menthol-chill-10ml https://vapeshop.co.uk/products/vapemate-classic-amber-blend-tobacco,,
vapeshop.co.uk,Vapemate Classic American 10Ml,vapemate,eliquid,2,gold tobacco; red tobacco,"strength: 0mg, 12mg, 18mg, 3mg, 6mg",2.99,2,Vapemate Classic American Gold Tobacco 10ml,https://vapeshop.co.uk/products/vapemate-classic-american-gold-tobacco,https://vapeshop.co.uk/products/vapemate-classic-american-red-tobacco,,
vapeshop.co.uk,Vapemate Classic Bavarian 10Ml,vapemate,eliquid,1,cream,"strength: 12mg, 18mg, 3mg",2.99,1,Vapemate Classic Bavarian Cream 10ml,https://vapeshop.co.uk/products/vapemate-classic-bavarian-cream,,,
vapeshop.co.uk,Vapemate Classic Brazilian 10Ml,vapemate,eliquid,1,coffee,"strength: 12mg, 18mg, 3mg, 6mg",2.99,1,Vapemate Classic Brazilian Coffee 10ml,https://vapeshop.co.uk/products/vapemate-classic-brazilian-coffee,,,
vapeshop.co.uk,Vapemate Classic Classic 10Ml,vapemate,eliquid,1,custard,strength: 6mg,2.99,1,Vapemate Classic Classic Custard 10ml,https://vapeshop.co.uk/products/vapemate-classic-classic-custard,,,
vapeshop.co.uk,Vapemate Classic Harvest 10Ml,vapemate,eliquid,1,berry,"strength: 12mg, 3mg, 6mg",0.99,1,Vapemate Classic Harvest Berry 10ml,https://vapeshop.co.uk/products/vapemate-classic-harvest-berry,,,
vapeshop.co.uk,Vapemate Classic Hill Town 10Ml,vapemate,eliquid,1,tobacco,"strength: 0mg, 12mg, 18mg, 3mg, 6mg",2.99,1,Vapemate Classic Hill Town Tobacco 10ml,https://vapeshop.co.uk/products/vapemate-classic-hill-town-tobacco,,,
vapeshop.co.uk,Vapemate Classic Peaches 10Ml,vapemate,eliquid,1,cream,"strength: 12mg, 6mg",2.99,1,Vapemate Classic Peaches & Cream 10ml,https://vapeshop.co.uk/products/vapemate-classic-peaches-cream,,,
vapeshop.co.uk,Vapemate Classic Popular 10Ml,vapemate,eliquid,1,tobacco,strength: 6mg,2.99,1,Vapemate Classic Popular Tobacco 10ml,https://vapeshop.co.uk/products/vapemate-classic-popular-tobacco-10ml,,,
vapeshop.co.uk,Vapemate Classic Tac Tic 10Ml,vapemate,eliquid,1,orange citrus,"strength: 12mg, 3mg, 6mg",2.99,1,Vapemate Classic Tac Tic Orange Citrus 10ml,https://vapeshop.co.uk/products/vapemate-classic-tac-tic-orange-citrus,,,
vapeshop.co.uk,Vapemate Classic Vy3 10Ml,vapemate,eliquid,1,tobacco,strength: 3mg,2.99,1,Vapemate Classic VY3 Tobacco 10ml,https://vapeshop.co.uk/products/vapemate-classic-vy3-tobacco,,,
vapeshop.co.uk,Vapemate Classic York 10Ml,vapemate,eliquid,1,cheesecake,"strength: 12mg, 18mg, 3mg, 6mg",2.99,1,Vapemate Classic New York Cheesecake 10ml,https://vapeshop.co.uk/products/vapemate-classic-new-york-cheesecake,,,
vapeshop.co.uk,Vapemate Origins 10Ml,vapemate,eliquid,19,amber blend; banana; black cherry; blackcurrant; blackcurrant menthol; blueberry; cherry cola; cola; fruit blast; gold tobacco; menthol; peppermint; raspberry; red tobacco; rhubarb custard; strawberry; vanilla custard; virginia; watermelon,"strength: 12mg, 18mg, 6mg",0.99,19,Vapemate Origins Rhubarb & Custard 10ml,https://vapeshop.co.uk/products/vapemate-origins-rhubarb-custard-10ml,https://vapeshop.co.uk/products/vapemate-origins-watermelon-10ml https://vapeshop.co.uk/products/vapemate-origins-virginia-10ml https://vapeshop.co.uk/products/vapemate-origins-vanilla-custard-10ml,,
vapeshop.co.uk,vapemate classic absinthe 10ml,vapemate,eliquid,0,,"strength: 12mg, 6mg",2.99,1,Vapemate Classic Absinthe 10ml,https://vapeshop.co.uk/products/vapemate-classic-absinthe,,,
vapeshop.co.uk,vapemate classic candyfloss 10ml,vapemate,eliquid,0,,"strength: 12mg, 3mg, 6mg",2.99,1,Vapemate Classic Candyfloss 10ml,https://vapeshop.co.uk/products/vapemate-classic-candyfloss,,,
vapeshop.co.uk,vapemate classic chocolate fudge brownie 10ml,vapemate,eliquid,0,,"strength: 12mg, 18mg, 3mg, 6mg",0.99,1,Vapemate Classic Chocolate Fudge Brownie 10ml,https://vapeshop.co.uk/products/vapemate-classic-chocolate-fudge-brownie,,,
